id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
15965363,"Villa La Angostura ""Casa Aimé"" - Amazing view",entire_home,"5,0 (49)",La Villa,-40.779472601693406,-71.66399245939182,"['8 camas', '4 dormitorios', '1 cama king', '7 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-08-05,2023-08-10,,$450 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
40184006,"Cabaña Lago Lolog, San Martin de Los Andes I",entire_home,"4,77 (13)",San Martin de los Andes,-40.05905,-71.30927,"['3 camas', '2 dormitorios', '1 baño', '1 cama doble', '2 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-08-07,2023-08-12,,$50 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
21238390,Casa de montaña c/ vista al lago - Maitenes,entire_home,"4,95 (58)",San Carlos de Bariloche,-41.0749,-71.46651,"['3 camas', '2 dormitorios', '1 cama queen', '2 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-08-21,2023-08-27,$99 USD,$110 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
46338322,"Ubicación céntrica, pleno corazón de Bariloche",entire_home,"4,88 (42)",San Carlos de Bariloche,-41.13298,-71.30428,"['3 camas', '2 dormitorios', '1 baño', '1 cama queen', '2 camas de una plaza', 'Wifi']",2023-10-04,2023-10-09,,$60 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
33134546,L&L Studio Cabin,entire_home,"4,76 (140)",San Carlos de Bariloche,-41.12861,-71.3704,"['1 cama', 'Monoambiente', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi']",2023-08-04,2023-08-10,,$30 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
665101374587954158,Estudio con parque,entire_home,"4,95 (19)",San Carlos de Bariloche,-41.1048,-71.44085,"['1 cama', '1 dormitorio', '1 baño', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$69 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
47975732,"""La Posadita"" Casa de Montaña, Miralejos",entire_home,"5,0 (3)",San Martin de los Andes,-40.16316,-71.28312,"['5 camas', '3 dormitorios', '2 baños', '1 cama queen', '4 camas de una plaza', 'Estacionamiento gratis', 'Wifi']",2023-07-01,2023-07-06,,$250 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
1913711,Casa de montaña en el centro ,entire_home,"4,7 (194)",San Martín de los Andes,-40.15192,-71.35012,"['5 camas', '3 dormitorios', '1 cama doble', '4 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-09-25,2023-10-01,,$75 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
6637400,Cabaña cerca del Cerro Catedral,entire_home,"4,93 (121)",San Carlos de Bariloche,-41.15727,-71.41497,"['3 camas', '1 dormitorio', '1 baño', '1 cama king', '2 camas de una plaza', 'Estacionamiento gratis']",2023-07-28,2023-08-04,,$52 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
802059944039747923,hermosa tiny house en la montaña,entire_home,,San Carlos de Bariloche,-41.17441,-71.36737,"['No hay evaluaciones', '2 camas', '1 dormitorio', '1 baño', 'Estacionamiento gratis', 'Wifi', 'No hay evaluaciones']",2023-07-01,2023-07-06,,$36 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
795027372832075610,Habitación en lugar de ensueño,private_room,"5,0 (12)",San Martin de los Andes,-40.117366235300544,-71.24584433138274,"['1 ,5 baños', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$37 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
725156603487938397,Mini casa céntrica estacionamiento y WIFI,entire_home,"4,3 (20)",San Carlos de Bariloche,-41.14063,-71.30663,"['1 cama', 'Monoambiente', '1 baño', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,4 de 5 en limpieza']",2023-08-04,2023-08-09,$40 USD,$57 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
6993416,Cabaña Lago Bahía Protegida Costa Lago,entire_home,"4,92 (100)",San Carlos de Bariloche,-41.09834,-71.44622,"['6 camas', '2 dormitorios', '2 baños', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-08-12,2023-08-17,,$300 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
